xx,yy
-3.41746114,17.58091969
-3.434948187,17.23117876
-4.186891192,16.28687824
-4.763963731,14.76550518
-4.851398964,13.01680052
-4.361761658,11.58286269
-3.20761658,10.11395078
-1.791165803,9.292059585
0.359740933,8.977292746
1.968549223,9.431955959
3.647305699,10.56861399
4.626580311,12.10747409
4.923860104,14.4332513
4.504170984,15.63985751
3.804689119,16.91641192
3.052746114,17.5459456
3.070233161,17.79076425
2.720492228,17.00384715
3.070233161,16.68908031
3.33253886,16.39180052
3.577357513,16.28687824
3.682279793,16.07703368
3.612331606,15.88467617
3.48992228,15.77975389
3.59484456,15.43001295
3.59484456,14.90540155
3.54238342,14.53817358
3.157668394,13.85617876
2.615569948,13.48895078
1.77619171,13.24413212
1.024248705,13.47146373
0.412202073,13.96110104
-0.007487047,14.4332513
-0.059948187,14.90540155
-0.182357513,15.32509067
-0.007487047,15.63985751
-0.007487047,15.84970207
-0.059948187,16.12949482
0.132409326,16.37431347
0.254818653,16.44426166
0.149896373,16.14698187
0.447176166,16.65410622
0.866865285,16.93389896
1.304041451,17.14374352
0.831891192,17.0213342
0.622046632,17.40604922
0.464663212,17.79076425
0.394715026,18.45527202
-0.287279793,15.93713731
-1.109170984,15.65734456
-0.374715026,17.00384715
-0.794404145,17.56343264
-0.287279793,17.91317358
-0.811891192,17.5459456
-0.374715026,16.9863601
-1.161632124,15.60488342
-0.969274611,17.2486658
-1.161632124,15.63985751
-1.179119171,15.43001295
-0.899326425,15.29011658
-0.706968912,15.11524611
-0.269792746,14.9228886
-0.532098446,14.64309585
-0.217331606,14.53817358
-0.322253886,14.08351036
0.307279793,13.85617876
-0.217331606,13.48895078
0.674507772,13.0867487
-0.059948187,12.75449482
0.569585492,12.22988342
-0.164870466,12.02003886
0.289792746,11.14568653
-0.549585492,11.37301813
-0.706968912,10.70851036
-0.602046632,10.35876943
-1.266554404,10.69102332
-1.476398964,11.09322539
-2.123419689,10.2363601
-2.315777202,10.97081606
-2.368238342,11.30306995
-3.225103627,10.91835492
-2.997772021,11.32055699
-2.962797927,11.72275907
-4.064481865,11.8101943
-3.627305699,12.31731865
-3.399974093,12.64957254
-4.204378238,13.15669689
-3.732227979,13.24413212
-3.330025907,13.6113601
-3.749715026,14.1359715
-3.20761658,14.32832902
-3.31253886,14.90540155
-2.787927461,14.9228886
-2.787927461,15.29011658
-2.473160622,15.13273316
-2.840388601,14.48571244
-2.910336788,13.92612694
-2.910336788,13.33156736
-2.945310881,14.01356218
-2.805414508,14.45073834
-2.473160622,15.16770725
-2.018497409,15.34257772
-1.966036269,15.55242228
-2.053471503,17.33610104
-2.001010363,15.53493523
-2.630544041,17.0213342
-2.228341969,17.40604922
-2.648031088,17.00384715
-1.966036269,15.55242228
-3.015259067,15.91965026
-3.452435233,17.26615285
